,Subject,trialtype,trialnum,TBR,inpos,outpos,resp,dist_RT,task,folder
183,10.0,D,17.0,shape,2.0,2,shape,5722.0,R.pool350,E9pool
184,10.0,D,17.0,pear,3.0,3,pear,6749.0,R.pool350,E9pool
185,10.0,D,17.0,guest,4.0,4,guest,8192.0,R.pool350,E9pool
186,10.0,S,18.0,boot,0.0,0,boot,5513.0,R.pool350,E9pool
187,10.0,S,18.0,suit,1.0,1,suit,6301.0,R.pool350,E9pool
188,10.0,S,18.0,flute,2.0,2,flute,5265.0,R.pool350,E9pool
189,10.0,S,18.0,loot,3.0,3,loot,5647.0,R.pool350,E9pool
190,10.0,S,18.0,root,4.0,4,root,6302.0,R.pool350,E9pool
191,10.0,S,18.0,brute,5.0,5,brute,7922.0,R.pool350,E9pool
192,10.0,D,19.0,chest,0.0,0,chest,9056.0,R.pool350,E9pool
193,10.0,D,19.0,lane,1.0,1,path,5595.0,R.pool350,E9pool
194,10.0,D,19.0,hair,2.0,2,hair,6476.0,R.pool350,E9pool
195,10.0,D,19.0,crown,3.0,3,crown,6105.0,R.pool350,E9pool
196,10.0,S,20.0,pie,0.0,0,pie,7390.0,R.pool350,E9pool
197,10.0,S,20.0,fly,1.0,1,fly,4990.0,R.pool350,E9pool
198,10.0,S,20.0,tie,2.0,2,tie,6224.0,R.pool350,E9pool
199,10.0,S,20.0,sky,3.0,3,sky,6263.0,R.pool350,E9pool
200,10.0,S,20.0,eye,4.0,4,eye,9388.0,R.pool350,E9pool
201,10.0,D,21.0,beard,0.0,0,beard,5311.0,R.pool350,E9pool
202,10.0,D,21.0,hill,1.0,1,hill,5532.0,R.pool350,E9pool
203,10.0,D,21.0,dirt,2.0,2,dirt,6791.0,R.pool350,E9pool
204,10.0,D,21.0,card,3.0,3,card,5487.0,R.pool350,E9pool
205,10.0,D,21.0,line,4.0,4,line,7476.0,R.pool350,E9pool
206,10.0,S,22.0,blouse,0.0,0,mouse,5992.0,R.pool350,E9pool
207,10.0,S,22.0,house,1.0,,,7472.0,R.pool350,E9pool
208,10.0,S,22.0,mouse,2.0,,,9164.0,R.pool350,E9pool
209,10.0,D,23.0,deck,0.0,0,deck,5603.0,R.pool350,E9pool
210,10.0,D,23.0,slice,1.0,1,slice,6227.0,R.pool350,E9pool
211,10.0,D,23.0,rat,2.0,2,rat,6258.0,R.pool350,E9pool
212,10.0,D,24.0,shell,0.0,0,shell,5168.0,R.pool350,E9pool
213,10.0,D,24.0,tree,1.0,1,tree,5450.0,R.pool350,E9pool
214,10.0,D,24.0,bowl,2.0,2,bowl,6097.0,R.pool350,E9pool
215,10.0,D,24.0,broom,3.0,3,,8653.0,R.pool350,E9pool
216,10.0,D,24.0,test,4.0,,,6921.0,R.pool350,E9pool
217,10.0,D,24.0,ground,5.0,,,7547.0,R.pool350,E9pool
218,10.0,S,25.0,mail,0.0,0,mail,5458.0,R.pool350,E9pool
219,10.0,S,25.0,sail,1.0,1,wail,6056.0,R.pool350,E9pool
220,10.0,S,25.0,trail,2.0,2,tale,8390.0,R.pool350,E9pool
221,10.0,S,25.0,wail,3.0,3,jail,8045.0,R.pool350,E9pool
222,10.0,S,25.0,tail,4.0,,,7897.0,R.pool350,E9pool
223,10.0,S,25.0,jail,5.0,,,7420.0,R.pool350,E9pool
224,10.0,D,26.0,mare,0.0,0,mare,6998.0,R.pool350,E9pool
225,10.0,D,26.0,bell,1.0,1,bell,7198.0,R.pool350,E9pool
226,10.0,D,26.0,brain,2.0,2,brain,6229.0,R.pool350,E9pool
227,10.0,D,26.0,beef,3.0,3,beef,6652.0,R.pool350,E9pool
228,10.0,S,27.0,band,0.0,0,band,5621.0,R.pool350,E9pool
229,10.0,S,27.0,land,1.0,1,land,8117.0,R.pool350,E9pool
230,10.0,S,27.0,stand,2.0,2,hand,6263.0,R.pool350,E9pool
231,10.0,S,27.0,hand,3.0,,,7324.0,R.pool350,E9pool
232,13.0,P,0.0,hood,0.0,0,hood,5939.0,R.pool350,E9pool
233,13.0,P,0.0,wood,1.0,1,wood,5614.0,R.pool350,E9pool
234,13.0,P,1.0,earth,0.0,0,earth,5777.0,R.pool350,E9pool
235,13.0,P,1.0,peach,1.0,1,peach,5284.0,R.pool350,E9pool
236,13.0,P,2.0,bath,0.0,0,,5207.0,R.pool350,E9pool
237,13.0,P,2.0,dawn,1.0,1,dawn,6126.0,R.pool350,E9pool
238,13.0,P,3.0,farm,0.0,0,farm,6663.0,R.pool350,E9pool
239,13.0,P,3.0,arm,1.0,1,arm,7284.0,R.pool350,E9pool
240,13.0,D,4.0,rice,0.0,0,,5471.0,R.pool350,E9pool
241,13.0,D,4.0,cat,1.0,1,cat,6149.0,R.pool350,E9pool
242,13.0,D,4.0,trash,2.0,2,trash,7959.0,R.pool350,E9pool
243,13.0,S,5.0,king,0.0,0,king,7367.0,R.pool350,E9pool
244,13.0,S,5.0,ring,1.0,1,ring,5663.0,R.pool350,E9pool
245,13.0,S,5.0,spring,2.0,2,string,5678.0,R.pool350,E9pool
246,13.0,S,5.0,string,3.0,3,,5570.0,R.pool350,E9pool
247,13.0,S,5.0,wing,4.0,,,6045.0,R.pool350,E9pool
248,13.0,D,6.0,path,0.0,0,,7026.0,R.pool350,E9pool
249,13.0,D,6.0,nest,1.0,1,nest,6312.0,R.pool350,E9pool
250,13.0,D,6.0,square,2.0,2,,5731.0,R.pool350,E9pool
251,13.0,D,6.0,wood,3.0,3,,6343.0,R.pool350,E9pool
252,13.0,D,6.0,beach,4.0,4,beach,6824.0,R.pool350,E9pool
253,13.0,S,7.0,doll,0.0,0,doll,7143.0,R.pool350,E9pool
254,13.0,S,7.0,ball,1.0,1,hall,5568.0,R.pool350,E9pool
255,13.0,S,7.0,shawl,2.0,2,shawl,5001.0,R.pool350,E9pool
256,13.0,S,7.0,hall,3.0,3,,5699.0,R.pool350,E9pool
257,13.0,S,7.0,brawl,4.0,4,brawl,5318.0,R.pool350,E9pool
258,13.0,S,7.0,wall,5.0,,,6083.0,R.pool350,E9pool
259,13.0,S,8.0,bread,0.0,0,bread,7119.0,R.pool350,E9pool
260,13.0,S,8.0,head,1.0,1,,6577.0,R.pool350,E9pool
261,13.0,S,8.0,thread,2.0,2,thread,5361.0,R.pool350,E9pool
262,13.0,S,8.0,bed,3.0,3,bed,5788.0,R.pool350,E9pool
263,13.0,D,9.0,neck,0.0,0,neck,6230.0,R.pool350,E9pool
264,13.0,D,9.0,town,1.0,1,,5782.0,R.pool350,E9pool
265,13.0,D,9.0,hat,2.0,2,hat,6920.0,R.pool350,E9pool
266,13.0,D,9.0,street,3.0,3,street,7706.0,R.pool350,E9pool
267,13.0,S,10.0,bone,0.0,0,bone,7346.0,R.pool350,E9pool
268,13.0,S,10.0,phone,1.0,1,phone,7412.0,R.pool350,E9pool
269,13.0,S,10.0,stone,2.0,2,stone,6666.0,R.pool350,E9pool
270,13.0,D,11.0,coin,0.0,0,,8596.0,R.pool350,E9pool
271,13.0,D,11.0,film,1.0,1,film,6962.0,R.pool350,E9pool
272,13.0,D,11.0,leaf,2.0,2,,6019.0,R.pool350,E9pool
273,13.0,D,11.0,train,3.0,3,,6042.0,R.pool350,E9pool
274,13.0,D,11.0,map,4.0,4,art,6360.0,R.pool350,E9pool
275,13.0,D,11.0,art,5.0,,,5466.0,R.pool350,E9pool
276,13.0,D,12.0,spice,0.0,0,spice,9792.0,R.pool350,E9pool
277,13.0,D,12.0,heat,1.0,1,heat,6893.0,R.pool350,E9pool
278,13.0,D,12.0,shape,2.0,2,shape,5161.0,R.pool350,E9pool
279,13.0,D,12.0,pear,3.0,3,,5197.0,R.pool350,E9pool
280,13.0,D,12.0,guest,4.0,4,guest,5158.0,R.pool350,E9pool
281,13.0,S,13.0,boot,0.0,0,boot,6486.0,R.pool350,E9pool
