,Subject,trialtype,trialnum,inpos,TBR,outpos,resp,dist_RT,task,folder
195,55.0,D,19.0,4.0,map,4,art,5836.0,spOspan.noVer,E7
196,55.0,D,19.0,5.0,art,,,3315.0,spOspan.noVer,E7
197,55.0,D,20.0,0.0,deck,0,deck,3612.0,spOspan.noVer,E7
198,55.0,D,20.0,1.0,slice,1,slice,3174.0,spOspan.noVer,E7
199,55.0,D,20.0,2.0,rat,2,rat,3289.0,spOspan.noVer,E7
200,55.0,D,21.0,0.0,spice,0,spice,3887.0,spOspan.noVer,E7
201,55.0,D,21.0,1.0,heat,1,heat,2751.0,spOspan.noVer,E7
202,55.0,D,21.0,2.0,shape,2,,3445.0,spOspan.noVer,E7
203,55.0,D,21.0,3.0,pear,3,air,4157.0,spOspan.noVer,E7
204,55.0,D,21.0,4.0,guest,4,guest,3433.0,spOspan.noVer,E7
205,55.0,D,22.0,0.0,toy,0,toy,3693.0,spOspan.noVer,E7
206,55.0,D,22.0,1.0,wreck,1,wreck,3108.0,spOspan.noVer,E7
207,55.0,D,22.0,2.0,frown,2,frown,3523.0,spOspan.noVer,E7
208,55.0,D,23.0,0.0,path,0,path,2810.0,spOspan.noVer,E7
209,55.0,D,23.0,1.0,nest,1,nest,2558.0,spOspan.noVer,E7
210,55.0,D,23.0,2.0,square,2,,3411.0,spOspan.noVer,E7
211,55.0,D,23.0,3.0,wood,3,,3716.0,spOspan.noVer,E7
212,55.0,D,23.0,4.0,beach,4,beach,3034.0,spOspan.noVer,E7
213,55.0,D,24.0,0.0,beard,0,beard,4462.0,spOspan.noVer,E7
214,55.0,D,24.0,1.0,hill,1,hill,3591.0,spOspan.noVer,E7
215,55.0,D,24.0,2.0,dirt,2,dirt,4474.0,spOspan.noVer,E7
216,55.0,D,24.0,3.0,card,3,card,5241.0,spOspan.noVer,E7
217,55.0,D,24.0,4.0,line,4,line,3752.0,spOspan.noVer,E7
218,55.0,D,25.0,0.0,neck,0,neck,4118.0,spOspan.noVer,E7
219,55.0,D,25.0,1.0,town,1,town,3309.0,spOspan.noVer,E7
220,55.0,D,25.0,2.0,hat,2,hat,4170.0,spOspan.noVer,E7
221,55.0,D,25.0,3.0,street,3,street,3310.0,spOspan.noVer,E7
222,55.0,D,26.0,0.0,mare,0,mare,3116.0,spOspan.noVer,E7
223,55.0,D,26.0,1.0,bell,1,bell,3484.0,spOspan.noVer,E7
224,55.0,D,26.0,2.0,brain,2,brain,2997.0,spOspan.noVer,E7
225,55.0,D,26.0,3.0,beef,3,beef,3792.0,spOspan.noVer,E7
226,55.0,D,27.0,0.0,ant,0,ant,3605.0,spOspan.noVer,E7
227,55.0,D,27.0,1.0,air,1,air,3417.0,spOspan.noVer,E7
228,55.0,D,27.0,2.0,ink,2,ink,3708.0,spOspan.noVer,E7
229,55.0,D,27.0,3.0,cloud,3,,3938.0,spOspan.noVer,E7
230,55.0,D,27.0,4.0,seat,4,breath,3646.0,spOspan.noVer,E7
231,55.0,D,27.0,5.0,breath,,,3647.0,spOspan.noVer,E7
232,57.0,P,0.0,0.0,farm,0,farm,,spOspan.noVer,E7
233,57.0,P,0.0,1.0,arm,1,arm,,spOspan.noVer,E7
234,57.0,P,1.0,0.0,bath,0,dawn,,spOspan.noVer,E7
235,57.0,P,1.0,1.0,dawn,,,,spOspan.noVer,E7
236,57.0,P,2.0,0.0,earth,0,earth,,spOspan.noVer,E7
237,57.0,P,2.0,1.0,peach,1,peach,,spOspan.noVer,E7
238,57.0,P,3.0,0.0,hood,0,hood,,spOspan.noVer,E7
239,57.0,P,3.0,1.0,wood,1,wood,,spOspan.noVer,E7
240,57.0,D,4.0,0.0,spice,0,spice,3928.0,spOspan.noVer,E7
241,57.0,D,4.0,1.0,heat,1,heat,3909.0,spOspan.noVer,E7
242,57.0,D,4.0,2.0,shape,2,earth,3571.0,spOspan.noVer,E7
243,57.0,D,4.0,3.0,pear,3,shape,3510.0,spOspan.noVer,E7
244,57.0,D,4.0,4.0,guest,4,pear,3637.0,spOspan.noVer,E7
245,57.0,D,5.0,0.0,rice,0,rice,4870.0,spOspan.noVer,E7
246,57.0,D,5.0,1.0,cat,1,cat,3389.0,spOspan.noVer,E7
247,57.0,D,5.0,2.0,trash,2,trash,3752.0,spOspan.noVer,E7
248,57.0,D,6.0,0.0,mare,0,mare,4331.0,spOspan.noVer,E7
249,57.0,D,6.0,1.0,bell,1,bell,4457.0,spOspan.noVer,E7
250,57.0,D,6.0,2.0,brain,2,brain,3727.0,spOspan.noVer,E7
251,57.0,D,6.0,3.0,beef,3,beef,3918.0,spOspan.noVer,E7
252,57.0,D,7.0,0.0,coin,0,film,3756.0,spOspan.noVer,E7
253,57.0,D,7.0,1.0,film,1,coin,3375.0,spOspan.noVer,E7
254,57.0,D,7.0,2.0,leaf,2,train,3820.0,spOspan.noVer,E7
255,57.0,D,7.0,3.0,train,3,map,3622.0,spOspan.noVer,E7
256,57.0,D,7.0,4.0,map,4,leaf,3806.0,spOspan.noVer,E7
257,57.0,D,7.0,5.0,art,5,art,3672.0,spOspan.noVer,E7
258,57.0,D,8.0,0.0,path,0,path,3931.0,spOspan.noVer,E7
259,57.0,D,8.0,1.0,nest,1,nest,3479.0,spOspan.noVer,E7
260,57.0,D,8.0,2.0,square,2,square,3198.0,spOspan.noVer,E7
261,57.0,D,8.0,3.0,wood,3,wood,3403.0,spOspan.noVer,E7
262,57.0,D,8.0,4.0,beach,4,beach,3525.0,spOspan.noVer,E7
263,57.0,D,9.0,0.0,deck,0,deck,4070.0,spOspan.noVer,E7
264,57.0,D,9.0,1.0,slice,1,slice,3806.0,spOspan.noVer,E7
265,57.0,D,9.0,2.0,rat,2,rat,4352.0,spOspan.noVer,E7
266,57.0,D,10.0,0.0,beard,0,beard,4126.0,spOspan.noVer,E7
267,57.0,D,10.0,1.0,hill,1,hill,3684.0,spOspan.noVer,E7
268,57.0,D,10.0,2.0,dirt,2,dirt,4132.0,spOspan.noVer,E7
269,57.0,D,10.0,3.0,card,3,card,3921.0,spOspan.noVer,E7
270,57.0,D,10.0,4.0,line,4,line,4030.0,spOspan.noVer,E7
271,57.0,D,11.0,0.0,neck,0,neck,4600.0,spOspan.noVer,E7
272,57.0,D,11.0,1.0,town,1,town,3819.0,spOspan.noVer,E7
273,57.0,D,11.0,2.0,hat,2,hat,4421.0,spOspan.noVer,E7
274,57.0,D,11.0,3.0,street,3,street,4414.0,spOspan.noVer,E7
275,57.0,D,12.0,0.0,shell,0,shell,4250.0,spOspan.noVer,E7
276,57.0,D,12.0,1.0,tree,1,tree,3866.0,spOspan.noVer,E7
277,57.0,D,12.0,2.0,bowl,2,test,4058.0,spOspan.noVer,E7
