"","Subject","task","folder","trialtype","ACC.ser","ACC.item","ACC.possible","ACC.blank","ACC.seqerr","ACC.transdist","ACC.transerr","ACC.pli","ACC.order"
"225","57","R.pool60","E9poolb","D",0.537037037037037,0.685185185185185,1,0.277777777777778,0.148148148148148,NA,NA,0,0.783783783783784
"226","57","R.pool60","E9poolb","S",0.740740740740741,0.833333333333333,1,0.148148148148148,0.0925925925925926,NA,NA,0,0.888888888888889
"227","58","spOspan.noVer","E7","D",0.740740740740741,0.87037037037037,1,0.111111111111111,0.12962962962963,NA,NA,0.0185185185185185,0.851063829787234
"228","58","spOspan.noVer","E7","S",0.425925925925926,0.740740740740741,1,0.222222222222222,0.314814814814815,NA,NA,0,0.575
"229","58","R.pool10","E9poolb","D",0.5,0.666666666666667,1,0.222222222222222,0.166666666666667,NA,NA,0.0185185185185185,0.75
"230","58","R.pool10","E9poolb","S",0.574074074074074,0.833333333333333,1,0.148148148148148,0.259259259259259,NA,NA,0,0.688888888888889
"231","59","spOspan.noVer","E7","D",0.444444444444444,0.648148148148148,1,0.388888888888889,0.203703703703704,NA,NA,0.0185185185185185,0.685714285714286
"232","59","spOspan.noVer","E7","S",0.666666666666667,0.87037037037037,1,0.12962962962963,0.203703703703704,NA,NA,0,0.765957446808511
"233","59","R.pool30","E9poolb","D",0.259259259259259,0.574074074074074,1,0.37037037037037,0.314814814814815,NA,NA,0,0.451612903225806
"234","59","R.pool30","E9poolb","S",0.222222222222222,0.518518518518518,1,0.407407407407407,0.296296296296296,NA,NA,0,0.428571428571429
"235","60","R.pool10","E9poolb","D",0.444444444444444,0.537037037037037,1,0.407407407407407,0.0925925925925926,NA,NA,0.0185185185185185,0.827586206896552
"236","60","R.pool10","E9poolb","S",0.388888888888889,0.648148148148148,1,0.333333333333333,0.259259259259259,NA,NA,0,0.6
"237","61","R.scramb","E7","D",0.666666666666667,0.87037037037037,1,0.0925925925925926,0.203703703703704,NA,NA,0,0.765957446808511
"238","61","R.scramb","E7","S",0.574074074074074,0.814814814814815,1,0.12962962962963,0.240740740740741,NA,NA,0,0.704545454545455
"239","61","R.pool60","E9poolb","D",0.925925925925926,0.944444444444444,1,0.037037037037037,0.0185185185185185,NA,NA,0,0.980392156862745
"240","61","R.pool60","E9poolb","S",0.944444444444444,0.944444444444444,1,0.0555555555555556,0,NA,NA,0,1
"241","62","R.scramb","E7","D",0.388888888888889,0.518518518518518,1,0.462962962962963,0.12962962962963,NA,NA,0.0185185185185185,0.75
"242","62","R.scramb","E7","S",0.555555555555556,0.703703703703704,1,0.296296296296296,0.148148148148148,NA,NA,0,0.789473684210526
"243","62","R.pool15","E9poolb","D",0.555555555555556,0.62962962962963,1,0.314814814814815,0.0740740740740741,NA,NA,0.037037037037037,0.882352941176471
"244","62","R.pool15","E9poolb","S",0.759259259259259,0.833333333333333,1,0.12962962962963,0.0740740740740741,NA,NA,0.0185185185185185,0.911111111111111
"245","63","Ospan.scram.noVer","E10oscram","D",1,1,1,0,0,NA,NA,0,1
"246","63","Ospan.scram.noVer","E10oscram","S",0.962962962962963,0.981481481481482,1,0.0185185185185185,0.0185185185185185,NA,NA,0,0.981132075471698
"247","63","spOspan.noVer","E7","D",0.851851851851852,0.888888888888889,1,0.0740740740740741,0.037037037037037,NA,NA,0.037037037037037,0.958333333333333
"248","63","spOspan.noVer","E7","S",0.648148148148148,0.851851851851852,1,0.111111111111111,0.203703703703704,NA,NA,0,0.760869565217391
"249","63","R.pool30","E9poolb","D",0.796296296296296,0.814814814814815,1,0.185185185185185,0.0185185185185185,NA,NA,0,0.977272727272727
