"","Subject","task","trialtype","ACC.transdist","freq"
"412","19","Ospan.reg","S",2,1
"413","19","Ospan.reg","S",NA,30
"414","19","Rspan.short","D",-2,1
"415","19","Rspan.short","D",-1,8
"416","19","Rspan.short","D",0,20
"417","19","Rspan.short","D",1,2
"418","19","Rspan.short","D",NA,27
"419","19","Rspan.short","S",-2,4
"420","19","Rspan.short","S",-1,6
"421","19","Rspan.short","S",0,25
"422","19","Rspan.short","S",1,2
"423","19","Rspan.short","S",NA,19
"424","19","R.pool30","D",-1,3
"425","19","R.pool30","D",0,30
"426","19","R.pool30","D",NA,21
"427","19","R.pool30","S",-2,1
"428","19","R.pool30","S",-1,2
"429","19","R.pool30","S",0,39
"430","19","R.pool30","S",2,1
"431","19","R.pool30","S",NA,12
"432","20","Ospan.reg","D",-1,7
"433","20","Ospan.reg","D",0,23
"434","20","Ospan.reg","D",2,1
"435","20","Ospan.reg","D",NA,23
"436","20","Ospan.reg","S",-1,4
"437","20","Ospan.reg","S",0,30
"438","20","Ospan.reg","S",1,3
"439","20","Ospan.reg","S",NA,17
"440","20","Rspan.long","D",-1,5
"441","20","Rspan.long","D",0,27
"442","20","Rspan.long","D",1,3
"443","20","Rspan.long","D",NA,28
"444","20","Rspan.long","S",-1,7
"445","20","Rspan.long","S",0,27
"446","20","Rspan.long","S",1,1
"447","20","Rspan.long","S",2,1
"448","20","Rspan.long","S",NA,26
"449","20","R.pool30","D",-2,1
"450","20","R.pool30","D",-1,5
"451","20","R.pool30","D",0,11
"452","20","R.pool30","D",1,1
"453","20","R.pool30","D",NA,37
"454","20","R.pool30","S",-1,5
"455","20","R.pool30","S",0,13
"456","20","R.pool30","S",1,3
"457","20","R.pool30","S",3,1
"458","20","R.pool30","S",NA,34
"459","21","Rspan.short","D",-1,3
"460","21","Rspan.short","D",0,29
"461","21","Rspan.short","D",NA,22
"462","21","Rspan.short","S",-1,2
"463","21","Rspan.short","S",0,31
"464","21","Rspan.short","S",1,2
"465","21","Rspan.short","S",NA,19
"466","21","R.pool30","D",-1,4
"467","21","R.pool30","D",0,25
"468","21","R.pool30","D",1,1
"469","21","R.pool30","D",NA,34
"470","21","R.pool30","S",-1,4
"471","21","R.pool30","S",0,31
"472","21","R.pool30","S",NA,28
"473","22","Rspan.long","D",-4,1
"474","22","Rspan.long","D",-3,1
"475","22","Rspan.long","D",-2,3
"476","22","Rspan.long","D",-1,3
"477","22","Rspan.long","D",0,18
"478","22","Rspan.long","D",NA,35
"479","22","Rspan.long","S",-2,2
"480","22","Rspan.long","S",-1,4
"481","22","Rspan.long","S",0,20
"482","22","Rspan.long","S",1,3
"483","22","Rspan.long","S",NA,34
"484","23","Rspan.short","D",-2,3
"485","23","Rspan.short","D",-1,3
"486","23","Rspan.short","D",0,19
"487","23","Rspan.short","D",1,1
"488","23","Rspan.short","D",NA,28
"489","23","Rspan.short","S",-4,1
"490","23","Rspan.short","S",-3,1
"491","23","Rspan.short","S",-2,1
"492","23","Rspan.short","S",-1,5
"493","23","Rspan.short","S",0,28
"494","23","Rspan.short","S",1,1
"495","23","Rspan.short","S",NA,17
"496","24","Rspan.long","D",-1,3
"497","24","Rspan.long","D",0,38
"498","24","Rspan.long","D",NA,13
"499","24","Rspan.long","S",-1,6
"500","24","Rspan.long","S",0,40
"501","24","Rspan.long","S",1,1
"502","24","Rspan.long","S",NA,7
"503","24","R.pool15","D",-3,2
"504","24","R.pool15","D",-2,4
"505","24","R.pool15","D",-1,4
"506","24","R.pool15","D",0,23
"507","24","R.pool15","D",1,5
"508","24","R.pool15","D",2,1
"509","24","R.pool15","D",NA,16
"510","24","R.pool15","S",-3,1
"511","24","R.pool15","S",-2,2
"512","24","R.pool15","S",-1,6
"513","24","R.pool15","S",0,30
"514","24","R.pool15","S",1,3
"515","24","R.pool15","S",NA,14
"516","25","Ospan.reg","D",-3,1
"517","25","Ospan.reg","D",-1,4
"518","25","Ospan.reg","D",0,20
"519","25","Ospan.reg","D",1,4
"520","25","Ospan.reg","D",2,2
"521","25","Ospan.reg","D",6,1
"522","25","Ospan.reg","D",NA,24
"523","25","Ospan.reg","S",-2,6
"524","25","Ospan.reg","S",-1,8
"525","25","Ospan.reg","S",0,15
"526","25","Ospan.reg","S",1,6
"527","25","Ospan.reg","S",2,1
"528","25","Ospan.reg","S",3,1
"529","25","Ospan.reg","S",NA,17
"530","25","Rspan.short","D",-1,2
"531","25","Rspan.short","D",0,48
"532","25","Rspan.short","D",NA,4
"533","25","Rspan.short","S",0,48
"534","25","Rspan.short","S",1,1
"535","25","Rspan.short","S",NA,6
"536","25","R.pool60","D",-1,5
"537","25","R.pool60","D",0,34
"538","25","R.pool60","D",1,1
"539","25","R.pool60","D",2,1
"540","25","R.pool60","D",NA,13
"541","25","R.pool60","S",-2,2
"542","25","R.pool60","S",-1,8
"543","25","R.pool60","S",0,35
"544","25","R.pool60","S",1,1
"545","25","R.pool60","S",2,1
"546","25","R.pool60","S",NA,7
"547","26","Ospan.reg","D",-1,9
"548","26","Ospan.reg","D",0,37
"549","26","Ospan.reg","D",NA,8
"550","26","Ospan.reg","S",-2,1
"551","26","Ospan.reg","S",-1,8
"552","26","Ospan.reg","S",0,27
"553","26","Ospan.reg","S",1,3
"554","26","Ospan.reg","S",2,1
"555","26","Ospan.reg","S",NA,14
"556","26","Rspan.long","D",-1,3
"557","26","Rspan.long","D",0,38
"558","26","Rspan.long","D",1,1
"559","26","Rspan.long","D",NA,12
"560","26","Rspan.long","S",-2,1
"561","26","Rspan.long","S",-1,4
"562","26","Rspan.long","S",0,35
"563","26","Rspan.long","S",1,2
"564","26","Rspan.long","S",2,2
"565","26","Rspan.long","S",NA,11
"566","27","Rspan.short","D",-2,1
"567","27","Rspan.short","D",-1,6
"568","27","Rspan.short","D",0,22
"569","27","Rspan.short","D",1,3
"570","27","Rspan.short","D",NA,24
"571","27","Rspan.short","S",-2,2
"572","27","Rspan.short","S",-1,6
"573","27","Rspan.short","S",0,28
"574","27","Rspan.short","S",1,1
"575","27","Rspan.short","S",NA,17
"576","27","R.pool10","D",-1,2
"577","27","R.pool10","D",0,29
"578","27","R.pool10","D",1,3
"579","27","R.pool10","D",2,1
"580","27","R.pool10","D",NA,20
"581","27","R.pool10","S",-2,2
"582","27","R.pool10","S",-1,2
"583","27","R.pool10","S",0,35
"584","27","R.pool10","S",1,2
"585","27","R.pool10","S",2,1
"586","27","R.pool10","S",NA,12
"587","28","Rspan.long","D",-1,4
"588","28","Rspan.long","D",0,15
"589","28","Rspan.long","D",1,6
"590","28","Rspan.long","D",NA,32
"591","28","Rspan.long","S",-1,2
"592","28","Rspan.long","S",0,24
"593","28","Rspan.long","S",1,2
"594","28","Rspan.long","S",2,1
"595","28","Rspan.long","S",3,1
"596","28","Rspan.long","S",4,2
"597","28","Rspan.long","S",NA,27
"598","28","R.pool30","D",-1,1
"599","28","R.pool30","D",0,33
"600","28","R.pool30","D",NA,20
"601","28","R.pool30","S",-1,4
"602","28","R.pool30","S",0,36
"603","28","R.pool30","S",1,2
"604","28","R.pool30","S",NA,12
"605","29","Rspan.short","D",-1,3
"606","29","Rspan.short","D",0,43
"607","29","Rspan.short","D",NA,10
"608","29","Rspan.short","S",-1,3
"609","29","Rspan.short","S",0,44
"610","29","Rspan.short","S",NA,8
"611","29","R.pool15","D",-1,6
"612","29","R.pool15","D",0,18
"613","29","R.pool15","D",1,1
"614","29","R.pool15","D",NA,34
"615","29","R.pool15","S",-3,1
"616","29","R.pool15","S",-2,1
"617","29","R.pool15","S",-1,1
"618","29","R.pool15","S",0,34
"619","29","R.pool15","S",1,3
"620","29","R.pool15","S",NA,20
"621","30","Rspan.long","D",-1,5
"622","30","Rspan.long","D",0,37
"623","30","Rspan.long","D",2,1
"624","30","Rspan.long","D",NA,12
"625","30","Rspan.long","S",-1,2
"626","30","Rspan.long","S",0,39
"627","30","Rspan.long","S",1,1
"628","30","Rspan.long","S",NA,12
"629","30","R.pool15","D",-1,3
"630","30","R.pool15","D",0,22
"631","30","R.pool15","D",1,1
"632","30","R.pool15","D",2,1
"633","30","R.pool15","D",NA,37
"634","30","R.pool15","S",-2,2
"635","30","R.pool15","S",-1,7
"636","30","R.pool15","S",0,26
"637","30","R.pool15","S",1,2
"638","30","R.pool15","S",NA,25
"639","31","Rspan.short","D",-1,7
"640","31","Rspan.short","D",0,19
"641","31","Rspan.short","D",NA,29
"642","31","Rspan.short","S",-2,2
"643","31","Rspan.short","S",-1,4
"644","31","Rspan.short","S",0,28
"645","31","Rspan.short","S",1,4
"646","31","Rspan.short","S",NA,20
"647","31","R.pool10","D",-3,4
"648","31","R.pool10","D",-2,1
"649","31","R.pool10","D",-1,5
"650","31","R.pool10","D",0,21
"651","31","R.pool10","D",1,1
"652","31","R.pool10","D",NA,22
"653","31","R.pool10","S",-3,1
"654","31","R.pool10","S",-2,2
"655","31","R.pool10","S",-1,6
"656","31","R.pool10","S",0,24
"657","31","R.pool10","S",1,2
"658","31","R.pool10","S",NA,19
"659","32","Rspan.long","D",0,30
"660","32","Rspan.long","D",1,1
"661","32","Rspan.long","D",NA,23
"662","32","Rspan.long","S",-1,3
"663","32","Rspan.long","S",0,40
"664","32","Rspan.long","S",1,2
"665","32","Rspan.long","S",3,2
"666","32","Rspan.long","S",NA,8
"667","33","Rspan.short","D",-2,1
"668","33","Rspan.short","D",-1,4
"669","33","Rspan.short","D",0,17
"670","33","Rspan.short","D",1,3
"671","33","Rspan.short","D",NA,32
"672","33","Rspan.short","S",-1,1
"673","33","Rspan.short","S",0,24
"674","33","Rspan.short","S",1,2
"675","33","Rspan.short","S",2,2
"676","33","Rspan.short","S",NA,25
"677","33","R.pool60","D",0,45
"678","33","R.pool60","D",NA,21
"679","33","R.pool60","S",-1,1
"680","33","R.pool60","S",0,47
"681","33","R.pool60","S",1,1
"682","33","R.pool60","S",NA,16
"683","34","Rspan.long","D",-1,3
"684","34","Rspan.long","D",0,38
"685","34","Rspan.long","D",NA,13
"686","34","Rspan.long","S",-1,6
"687","34","Rspan.long","S",0,24
