"","Subject","task","folder","trialtype","triallen","ACC.ser","ACC.item","ACC.possible","ACC.blank","ACC.seqerr","ACC.transdist","ACC.transerr","ACC.pli","ACC.order"
"245","15","Ospan.reg","E4","S",3,0.888888888888889,0.888888888888889,1,0,0,NA,NA,0,1
"246","15","Ospan.reg","E4","S",4,0.0833333333333333,0.75,1,0.0833333333333333,0.666666666666667,NA,NA,0,0.111111111111111
"247","15","Ospan.reg","E4","S",5,0.533333333333333,0.733333333333333,1,0.266666666666667,0.2,NA,NA,0,0.727272727272727
"248","15","Ospan.reg","E4","S",6,0.277777777777778,0.611111111111111,1,0.333333333333333,0.333333333333333,NA,NA,0,0.454545454545455
"249","15","Rspan.short","E2","D",3,0.777777777777778,0.777777777777778,1,0,0,NA,NA,0,1
"250","15","Rspan.short","E2","D",4,0.583333333333333,0.583333333333333,1,0.416666666666667,0,NA,NA,0,1
"251","15","Rspan.short","E2","D",5,0.666666666666667,0.666666666666667,1,0.333333333333333,0,NA,NA,0,1
"252","15","Rspan.short","E2","D",6,0.111111111111111,0.5,1,0.5,0.388888888888889,NA,NA,0,0.222222222222222
"253","15","Rspan.short","E2","S",3,1,1,1,0,0,0,0,0,1
"254","15","Rspan.short","E2","S",4,0.833333333333333,0.833333333333333,1,0.166666666666667,0,NA,NA,0,1
"255","15","Rspan.short","E2","S",5,0.2,0.733333333333333,1,0.2,0.533333333333333,NA,NA,0,0.272727272727273
"256","15","Rspan.short","E2","S",6,0.444444444444444,0.722222222222222,1,0.277777777777778,0.277777777777778,NA,NA,0,0.615384615384615
"257","16","Ospan.reg","E4","D",3,1,1,1,0,0,0,0,0,1
"258","16","Ospan.reg","E4","D",4,0.833333333333333,0.916666666666667,1,0,0.0833333333333333,NA,NA,0.0833333333333333,0.909090909090909
"259","16","Ospan.reg","E4","D",5,0.666666666666667,0.8,1,0.133333333333333,0.133333333333333,NA,NA,0,0.833333333333333
"260","16","Ospan.reg","E4","D",6,0.666666666666667,0.777777777777778,1,0.111111111111111,0.111111111111111,NA,NA,0.0555555555555556,0.857142857142857
"261","16","Ospan.reg","E4","S",3,0.888888888888889,0.888888888888889,1,0,0,NA,NA,0,1
"262","16","Ospan.reg","E4","S",4,0.75,0.75,1,0,0,NA,NA,0,1
"263","16","Ospan.reg","E4","S",5,0.466666666666667,0.8,1,0.2,0.333333333333333,NA,NA,0,0.583333333333333
"264","16","Ospan.reg","E4","S",6,0.333333333333333,0.666666666666667,1,0.222222222222222,0.333333333333333,NA,NA,0,0.5
"265","16","Rspan.long","E2","D",3,1,1,1,0,0,0,0,0,1
"266","16","Rspan.long","E2","D",4,0.583333333333333,0.75,1,0.25,0.166666666666667,NA,NA,0,0.777777777777778
"267","16","Rspan.long","E2","D",5,0.266666666666667,0.466666666666667,1,0.4,0.2,NA,NA,0.0666666666666667,0.571428571428571
"268","16","Rspan.long","E2","D",6,0.166666666666667,0.444444444444444,1,0.5,0.277777777777778,NA,NA,0.0555555555555556,0.375
"269","16","Rspan.long","E2","S",3,1,1,1,0,0,0,0,0,1
"270","16","Rspan.long","E2","S",4,0.75,0.833333333333333,1,0.166666666666667,0.0833333333333333,NA,NA,0,0.9
"271","16","Rspan.long","E2","S",5,0.6,0.8,1,0.133333333333333,0.2,NA,NA,0,0.75
"272","16","Rspan.long","E2","S",6,0.333333333333333,0.611111111111111,1,0.333333333333333,0.277777777777778,NA,NA,0,0.545454545454545
"273","17","Ospan.reg","E4","D",3,1,1,1,0,0,0,0,0,1
"274","17","Ospan.reg","E4","D",4,0.666666666666667,0.916666666666667,1,0.0833333333333333,0.25,NA,NA,0,0.727272727272727
"275","17","Ospan.reg","E4","D",5,0.2,0.533333333333333,1,0.466666666666667,0.333333333333333,NA,NA,0,0.375
"276","17","Ospan.reg","E4","D",6,0.166666666666667,0.611111111111111,1,0.388888888888889,0.444444444444444,NA,NA,0,0.272727272727273
"277","17","Ospan.reg","E4","S",3,0.555555555555556,0.888888888888889,1,0.111111111111111,0.333333333333333,NA,NA,0,0.625
"278","17","Ospan.reg","E4","S",4,0.333333333333333,0.5,1,0.5,0.166666666666667,NA,NA,0,0.666666666666667
"279","17","Ospan.reg","E4","S",5,0.0666666666666667,0.6,1,0.4,0.533333333333333,NA,NA,0,0.111111111111111
